ID,Name,Year,Rank,Average,Bayes average,Users rated,URL,Thumbnail
59959,Letters from Whitechapel,2011,164,7.48,7.255,9893,/boardgame/59959/letters-whitechapel,https://cf.geekdo-images.com/images/pic1545654_mt.jpg
36932,Claustrophobia,2009,165,7.59,7.25,5866,/boardgame/36932/claustrophobia,https://cf.geekdo-images.com/images/pic570518_mt.jpg
163745,Star Wars: Armada,2015,166,7.96,7.248,3060,/boardgame/163745/star-wars-armada,https://cf.geekdo-images.com/images/pic2355171_mt.jpg
176920,Mission: Red Planet (Second Edition),2015,167,7.61,7.247,5197,/boardgame/176920/mission-red-planet-second-edition,https://cf.geekdo-images.com/images/pic2499748_mt.jpg
156129,Deception: Murder in Hong Kong,2014,168,7.55,7.246,6366,/boardgame/156129/deception-murder-hong-kong,https://cf.geekdo-images.com/images/pic2568916_mt.jpg
15985,Blood Bowl: Living Rulebook,2004,169,7.88,7.245,3081,/boardgame/15985/blood-bowl-living-rulebook,https://cf.geekdo-images.com/images/pic66287_mt.jpg
198773,Codenames: Pictures,2016,170,7.5,7.245,7666,/boardgame/198773/codenames-pictures,https://cf.geekdo-images.com/images/pic3476592_mt.jpg
123123,BattleCON: Devastation of Indines,2013,171,8.07,7.243,2366,/boardgame/123123/battlecon-devastation-indines,https://cf.geekdo-images.com/images/pic2407334_mt.jpg
39856,Dixit,2008,172,7.34,7.241,34123,/boardgame/39856/dixit,https://cf.geekdo-images.com/images/pic3483909_mt.jpg
37046,Ghost Stories,2008,173,7.38,7.237,15221,/boardgame/37046/ghost-stories,https://cf.geekdo-images.com/images/pic1790243_mt.jpg
243,Advanced Squad Leader,1985,174,7.96,7.235,3027,/boardgame/243/advanced-squad-leader,https://cf.geekdo-images.com/images/pic771969_mt.jpg
163068,Trickerion: Legends of Illusion,2015,175,7.82,7.234,3227,/boardgame/163068/trickerion-legends-illusion,https://cf.geekdo-images.com/images/pic2585510_mt.png
124708,Mice and Mystics,2012,176,7.45,7.233,11968,/boardgame/124708/mice-and-mystics,https://cf.geekdo-images.com/images/pic1312072_mt.jpg
136888,Bruges,2013,177,7.48,7.232,7689,/boardgame/136888/bruges,https://cf.geekdo-images.com/images/pic1652004_mt.jpg
25292,Merchants & Marauders,2010,178,7.45,7.229,10244,/boardgame/25292/merchants-marauders,https://cf.geekdo-images.com/images/pic738119_mt.jpg
33160,Endeavor,2009,179,7.45,7.226,8215,/boardgame/33160/endeavor,https://cf.geekdo-images.com/images/pic379881_mt.jpg
160477,Onitama,2014,180,7.61,7.225,5205,/boardgame/160477/onitama,https://cf.geekdo-images.com/images/pic2904046_mt.png
182631,Star Realms: Colony Wars,2015,181,7.97,7.224,2532,/boardgame/182631/star-realms-colony-wars,https://cf.geekdo-images.com/images/pic2971899_mt.jpg
40765,Clash of Cultures,2012,182,7.68,7.223,4189,/boardgame/40765/clash-cultures,https://cf.geekdo-images.com/images/pic1351042_mt.jpg
19777,Indonesia,2005,183,7.8,7.22,2987,/boardgame/19777/indonesia,https://cf.geekdo-images.com/images/pic93485_mt.jpg
63628,The Manhattan Project,2012,184,7.47,7.219,7309,/boardgame/63628/manhattan-project,https://cf.geekdo-images.com/images/pic1222522_mt.jpg
144344,Rococo,2013,185,7.57,7.218,5122,/boardgame/144344/rococo,https://cf.geekdo-images.com/images/pic1795272_mt.jpg
129622,Love Letter,2012,186,7.3,7.216,39376,/boardgame/129622/love-letter,https://cf.geekdo-images.com/images/pic1401448_mt.jpg
2655,Hive,2001,187,7.33,7.214,21401,/boardgame/2655/hive,https://cf.geekdo-images.com/images/pic791151_mt.jpg
21241,Neuroshima Hex!,2006,188,7.44,7.213,10510,/boardgame/21241/neuroshima-hex,https://cf.geekdo-images.com/images/pic1844819_mt.jpg
70919,Takenoko,2011,189,7.34,7.213,22457,/boardgame/70919/takenoko,https://cf.geekdo-images.com/images/pic1912529_mt.jpg
5,Acquire,1964,190,7.36,7.211,15790,/boardgame/5/acquire,https://cf.geekdo-images.com/images/pic3299296_mt.jpg
143693,Glass Road,2013,191,7.49,7.209,6512,/boardgame/143693/glass-road,https://cf.geekdo-images.com/images/pic3505745_mt.jpg
121,Dune,1979,192,7.62,7.209,4720,/boardgame/121/dune,https://cf.geekdo-images.com/images/pic279251_mt.jpg
25554,Notre Dame,2007,193,7.39,7.208,10320,/boardgame/25554/notre-dame,https://cf.geekdo-images.com/images/pic199316_mt.jpg
31594,In the Year of the Dragon,2007,194,7.41,7.202,8754,/boardgame/31594/year-dragon,https://cf.geekdo-images.com/images/pic285822_mt.jpg
54625,Space Hulk (third edition),2009,195,7.55,7.199,6048,/boardgame/54625/space-hulk-third-edition,https://cf.geekdo-images.com/images/pic588817_mt.jpg
54,Tikal,1999,196,7.34,7.196,14446,/boardgame/54/tikal,https://cf.geekdo-images.com/images/pic178078_mt.jpg
71,Civilization,1980,197,7.52,7.193,6344,/boardgame/71/civilization,https://cf.geekdo-images.com/images/pic114473_mt.jpg
70323,King of Tokyo,2011,198,7.28,7.192,40211,/boardgame/70323/king-tokyo,https://cf.geekdo-images.com/images/pic3043734_mt.jpg
188834,Secret Hitler,2016,199,7.61,7.191,5738,/boardgame/188834/secret-hitler,https://cf.geekdo-images.com/images/pic2771488_mt.png
204583,Kingdomino,2016,200,7.44,7.19,7981,/boardgame/204583/kingdomino,https://cf.geekdo-images.com/images/pic3132685_mt.png
